/home/shinhwan/.local/lib/python2.7/site-packages/torch/nn/functional.py:52: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
pretrain.py:70: UserWarning: nn.init.xavier_normal is now deprecated in favor of nn.init.xavier_normal_.
  nn.init.xavier_normal(param)
pretrain.py:68: UserWarning: nn.init.constant is now deprecated in favor of nn.init.constant_.
  nn.init.constant(param, 0)
Model #Params: 5110K
...Finish Making Plot Folder...
EPOCH: 1 | TIME: 2020-03-08 22:34:13.822932 
[0][2520] KL: 780.2, Word: 87.98, Topo: 98.10, Assm: 88.14, Steo: 100.00
[0][2540] KL: 823.0, Word: 87.68, Topo: 98.00, Assm: 88.75, Steo: 100.00
[0][2560] KL: 855.0, Word: 87.97, Topo: 97.90, Assm: 89.45, Steo: 100.00
[0][2580] KL: 794.8, Word: 88.21, Topo: 98.20, Assm: 88.18, Steo: 100.00
[0][2600] KL: 778.4, Word: 87.09, Topo: 97.88, Assm: 87.58, Steo: 100.00
[0][2620] KL: 824.0, Word: 87.31, Topo: 98.23, Assm: 88.75, Steo: 100.00
[0][2640] KL: 824.8, Word: 87.76, Topo: 98.09, Assm: 88.68, Steo: 100.00
[0][2660] KL: 802.5, Word: 88.46, Topo: 98.17, Assm: 90.18, Steo: 100.00
[0][2680] KL: 831.1, Word: 88.33, Topo: 98.18, Assm: 90.18, Steo: 100.00
[0][2700] KL: 812.6, Word: 88.26, Topo: 98.17, Assm: 90.38, Steo: 100.00
[0][2720] KL: 834.3, Word: 87.53, Topo: 98.21, Assm: 90.57, Steo: 100.00
[0][2740] KL: 816.2, Word: 87.66, Topo: 98.05, Assm: 89.42, Steo: 100.00
[0][2760] KL: 851.6, Word: 87.89, Topo: 98.03, Assm: 90.02, Steo: 100.00
[0][2780] KL: 883.8, Word: 87.73, Topo: 98.16, Assm: 89.52, Steo: 100.00
[0][2800] KL: 838.8, Word: 88.54, Topo: 97.92, Assm: 90.40, Steo: 100.00
[0][2820] KL: 885.1, Word: 88.72, Topo: 98.35, Assm: 90.46, Steo: 100.00
[0][2840] KL: 832.9, Word: 88.40, Topo: 98.03, Assm: 89.44, Steo: 100.00
[0][2860] KL: 844.9, Word: 88.84, Topo: 98.29, Assm: 90.57, Steo: 100.00
[0][2880] KL: 867.5, Word: 88.48, Topo: 98.23, Assm: 91.79, Steo: 100.00
[0][2900] KL: 827.4, Word: 87.94, Topo: 98.15, Assm: 89.74, Steo: 100.00
[0][2920] KL: 865.6, Word: 88.66, Topo: 98.33, Assm: 89.05, Steo: 99.00
[0][2940] KL: 877.6, Word: 89.57, Topo: 98.30, Assm: 87.82, Steo: 100.00
[0][2960] KL: 836.4, Word: 88.76, Topo: 98.16, Assm: 90.27, Steo: 100.00
[0][2980] KL: 846.8, Word: 88.51, Topo: 98.00, Assm: 90.58, Steo: 100.00
[0][3000] KL: 818.1, Word: 88.31, Topo: 98.13, Assm: 89.41, Steo: 100.00
[0][3020] KL: 836.4, Word: 89.35, Topo: 98.40, Assm: 90.41, Steo: 100.00
[0][3040] KL: 864.2, Word: 88.57, Topo: 98.27, Assm: 90.77, Steo: 100.00
[0][3060] KL: 831.4, Word: 88.73, Topo: 98.22, Assm: 90.62, Steo: 100.00
[0][3080] KL: 823.4, Word: 89.12, Topo: 98.29, Assm: 90.64, Steo: 100.00
[0][3100] KL: 837.5, Word: 89.10, Topo: 98.32, Assm: 91.35, Steo: 100.00
[0][3120] KL: 873.1, Word: 88.48, Topo: 98.26, Assm: 90.22, Steo: 100.00
[0][3140] KL: 875.9, Word: 89.02, Topo: 98.42, Assm: 91.30, Steo: 100.00
[0][3160] KL: 844.6, Word: 88.99, Topo: 98.16, Assm: 90.47, Steo: 100.00
[0][3180] KL: 864.7, Word: 90.39, Topo: 98.32, Assm: 91.70, Steo: 100.00
[0][3200] KL: 894.5, Word: 89.48, Topo: 98.39, Assm: 90.54, Steo: 100.00
[0][3220] KL: 819.0, Word: 88.95, Topo: 98.07, Assm: 91.42, Steo: 100.00
[0][3240] KL: 864.0, Word: 89.03, Topo: 98.21, Assm: 90.57, Steo: 100.00
[0][3260] KL: 863.2, Word: 89.16, Topo: 98.43, Assm: 90.68, Steo: 100.00
